quote,tone,mode,target,scene_summary,source,collapsed_tone,collapsed_mode
I'm lookin' for Curley.,flirty,statement,George and Lennie,Curley's wife enters the bunkhouse and makes her presence known by asking about her husband. This marks her first appearance in the story.,original,flirty,statement
Oh!,playful,exclamation,George,"Reacting to George's dismissive answer, she exaggerates a surprised response while posing suggestively.",original,playful,exclamation
"You're the new fellas that just come, ain't ya?",curious,question,George and Lennie,"She tries to start a conversation by confirming their identities, using this as an excuse to linger in the doorway.",original,curious,question
Sometimes Curley's in here.,casual,explanation,George and Lennie,"She justifies her presence in the bunkhouse by claiming she's looking for Curley, hinting she's used to snooping around.",original,casual,explanation
"If he ain't, I guess I better look some place else.",teasing,statement,George and Lennie,"She fakes disinterest and hints flirtatiously that she'll leave, though it's clear she wants attention.",original,teasing,statement
Nobody can't blame a person for lookin'.,defensive,justification,George,"She defends her behavior after George gives her a cold response, implying she's just harmlessly 'looking around'.",original,other,justification
"Hi, Slim.",flirtatious,greeting,Slim (passing outside the bunkhouse),She greets Slim in a way that reinforces her flirtatious behavior and distracts from the awkwardness inside the room.,original,other,other
"I'm tryin' to find Curley, Slim.",nervous,explanation,Slim,"After being called out by Slim, she pretends to be genuinely looking for Curley, trying to keep up appearances.",original,other,explanation
"'Bye, boys.",playful,farewell,George and Lennie,"Realizing she's been caught snooping, she quickly exits with a flirty goodbye.",original,playful,other
Any you boys seen Curley?,demanding,question,"Lennie, Candy, and Crooks","She enters Crooks' room looking for Curley, immediately interrupting the private conversation between the three men.",original,other,question
They left all the weak ones here.,mocking,statement,"Lennie, Candy, and Crooks","She mocks the men for being outcasts, implying she knows she can push them around without consequence.",original,mocking,statement
Think I don’t know where they all went? Even Curley. I know where they all went.,smug,statement,group,"She boasts about her awareness of the men’s whereabouts, asserting her knowledge to maintain power.",original,other,statement
"Funny thing. If I catch any one man, and he’s alone, I get along fine with him. But just let two of the guys get together an’ you won’t talk. Jus’ nothing but mad.",cynical,observation,general (the group of men),"She calls out how men act differently in groups, accusing them of being cowards when united.",original,cynical,observation
"Well, I ain’t giving you no trouble. Think I don’t like to talk to somebody ever’ once in a while? Think I like to stick in that house alla time?",defensive,rhetorical question,Crooks and Candy,"She tries to justify her presence, revealing her loneliness and frustration with being isolated.",original,other,other
"Sure I gotta husban’. You all seen him. Swell guy, ain’t he? Spends all his time sayin’ what he’s gonna do to guy she don’t like, and he don’t like nobody. Think I’m gonna stay in that two-by-four house and listen how Curley’s gonna lead with his left twicet, and then bring in the ol’ right cross? ‘One-two,’ he says. ‘Jus’ the ol’ one-two an’ he’ll go down.’",bitter,sarcastic rant,"Candy, Crooks",She mocks her husband and vents about being stuck in a joyless marriage with no escape.,original,bitter,other
Say—what happened to Curley’s han’?,suspicious,question,group,She directly challenges the lie about Curley’s hand being injured in a machine.,original,suspicious,question
"Baloney! What you think you’re sellin’ me? Curley started som’pin’ he didn’ finish. Caught in a machine —baloney! Why, he ain’t give nobody the good ol’ one-two since he got his han’ bust. Who bust him?",accusatory,confrontation,"Candy, Crooks, Lennie",She sees through the cover-up and calls out their dishonesty directly.,original,accusatory,other
"Awright, awright, cover ‘im up if ya wanta. Whatta I care? You bindle bums think you’re so damn good. Whatta ya think I am, a kid? I tell ya I could of went with shows. Not jus’ one, neither. An’ a guy tol’ me he could put me in pitchers . . . .",defensive and angry,rant,all three,"She lashes out, claiming she had better opportunities, and resents being treated like a fool.",original,other,rant
Sat’iday night. Ever’body out doin’ som’pin’. Ever’body! An’ what am I doin’? Standin’ here talkin’ to a bunch of bindle stiffs—a nigger an’ a dumdum and a lousy ol’ sheep—an’ likin’ it because they ain’t nobody else.,furious and cruel,verbal attack,"Crooks, Lennie, Candy","She lashes out with intense cruelty, especially toward Crooks, using racial and ableist slurs to assert power when she feels belittled.",original,other,other
Baloney.,dismissive,rejection,Candy,"She laughs at Candy's belief that they’ll really own a ranch someday, showing complete disbelief.",original,other,other
"I seen too many you guys. If you had two bits in the worl’, why you’d be in gettin’ two shots of corn with it and suckin’ the bottom of the glass. I know you guys.",cynical,accusation,"Candy, Lennie, Crooks",She mocks the dream and implies all men like them waste their money on alcohol.,original,cynical,other
Where’d you get them bruises on your face?,suspicious,interrogation,Lennie,She starts poking holes in the 'machine accident' cover story for Curley’s injury.,original,suspicious,other
"Yeah, you.",pressuring,follow-up question,Lennie,She doubles down on questioning Lennie about Curley’s injury.,original,other,other
"O.K., Machine. I’ll talk to you later. I like machines.",mocking,sarcasm,Lennie,She clearly doesn’t believe the excuse and taunts Lennie sarcastically.,original,mocking,other
Who’s George?,curious,question,Candy/Lennie,She asks who George is after Candy threatens to tell him what she said.,original,curious,question
"That’s him. That’s the guy, an’ he’s gonna let me tend the rabbits.",playful,flirtatious reply,Lennie,She acknowledges George and tries to engage with Lennie.,original,playful,other
"Well, if that’s all you want, I might get a couple rabbits myself.",teasing,suggestion,Lennie,"She jokingly entertains the idea of getting rabbits too, lightly flirting with Lennie.",original,teasing,other
"Listen, Nigger. You know what I can do to you if you open your trap?",threatening,threat,Crooks,"She immediately asserts power over Crooks, threatening him with lynching if he talks back.",original,other,other
You know what I could do?,dangerous,implied threat,Crooks,"She doubles down on her threat, enjoying her ability to intimidate him.",original,other,other
"Well, you keep your place then, Nigger. I could get you strung up on a tree so easy it ain’t even funny.",menacing,explicit threat,Crooks,"She delivers the harshest line in the book, fully aware of the power her whiteness gives her over Crooks.",original,other,other
"Tell an’ be damned. Nobody’d listen to you, an’ you know it. Nobody’d listen to you.",cold and realistic,dismissal,Candy,She states bluntly that Candy’s threats are meaningless because no one would believe or protect them.,original,other,dismissal
I ain’t sure you heard nothing.,calculated,gaslighting,Candy,"She casts doubt on Candy’s claim that he heard the men returning, to keep control of the room.",original,other,other
"Better not take no chances. If you ain’t sure, you better take the safe way.",manipulative,warning disguised as advice,Candy,"She plays it smart, pretending to give advice but really reinforcing fear.",original,other,other
I’m glad you bust up Curley a little bit. He got it comin’ to him. Sometimes I’d like to bust him myself.,honest and bitter,confession,Lennie,A rare moment of honesty — she admits even she resents Curley’s abuse.,original,other,confession
"What you got there, sonny boy?",curious,question,Lennie,She quietly sneaks up on Lennie in the barn and questions him about what he’s hiding (the dead puppy).,original,curious,question
George giving you orders about everything?,mocking,question,Lennie,She teases Lennie after he says George doesn’t let him talk to her.,original,mocking,question
"He’s scared Curley’ll get mad. Well, Curley got his arm in a sling-an’ if Curley gets tough, you can break his other han’. You didn’t put nothing over on me about gettin’ it caught in no machine.",bold and teasing,statement,Lennie,She acknowledges that she knows the truth about Curley’s busted hand and reassures Lennie of his strength.,original,other,statement
Listen. All the guys got a horseshoe tenement goin’ on. It’s on’y about four o’clock. None of them guys is goin’ to leave that tenement. Why can’t I talk to you? I never get to talk to nobody. I get awful lonely.,lonely and pleading,justification,Lennie,"She opens up, trying to connect with Lennie and justifying why she needs someone to talk to.",original,other,justification
"I get lonely. You can talk to people, but I can’t talk to nobody but Curley. Else he gets mad. How’d you like not to talk to anybody?",vulnerable,expression,Lennie,"She reveals her isolation and emotional frustration, making a rare honest attempt to be understood.",original,vulnerable,other
What you got covered up there?,curious,question,Lennie,"She asks Lennie what he's hiding, not realizing yet that it's a dead puppy.",original,curious,question
"Why, he’s dead.",shocked,exclamation,Lennie,She reacts with surprise when she realizes the puppy is dead.,original,other,exclamation
Don’t you worry none. He was jus’ a mutt. You can get another one easy. The whole country is fulla mutts.,consoling,reassurance,Lennie,"She tries to comfort Lennie, brushing off the death of the puppy.",original,other,reassurance
Why don’t he?,confused,question,Lennie (about George),She questions why George would stop Lennie from tending rabbits just because of the puppy incident.,original,other,question
Don’t you worry about talkin’ to me. Listen to the guys yell out there. They got four dollars bet in that tenement. None of them ain’t gonna leave till it’s over.,soothing,reassurance,Lennie,She downplays the risk of being caught talking to her and encourages him to relax.,original,other,reassurance
"Wha’s the matter with me? Ain’t I got a right to talk to nobody? Whatta they think I am, anyways? You’re a nice guy. I don’t know why I can’t talk to you. I ain’t doin’ no harm to you.",frustrated,complaint,Lennie,She vents her loneliness and frustration at being shunned by everyone on the ranch.,original,frustrated,complaint
"Aw, nuts! What kinda harm am I doin’ to you? Seems like they ain’t none of them cares how I gotta live. I tell you I ain’t used to livin’ like this. I coulda made somethin’ of myself.",bitter,self-expression,Lennie,She expresses deep resentment about how her life turned out and hints at her lost potential.,original,bitter,other
Maybe I will yet.,defiant,hopeful declaration,herself / Lennie,A flicker of hope — she still holds onto the dream of escaping her current life.,original,defiant,other
"I lived right in Salinas. Come there when I was a kid. Well, a show come through, an’ I met one of the actors. He says I could go with that show. But my ol’ lady wouldn’t let me. She says because I was on’y fifteen. But the guy says I coulda. If I’d went, I wouldn’t be livin’ like this, you bet.",reflective,storytelling,Lennie,She shares a childhood memory and a missed opportunity to escape poverty and obscurity.,original,other,storytelling
"’Nother time I met a guy, an’ he was in pitchers. Went out to the Riverside Dance Palace with him. He says he was gonna put me in the movies. Says I was a natural. Soon’s he got back to Hollywood he was gonna write to me about it.",hopeful,reminiscing,Lennie,"She reveals another missed opportunity, this time being promised a career in movies.",original,hopeful,other
"I never got that letter. I always thought my ol’ lady stole it. Well, I wasn’t gonna stay no place where I couldn’t get nowhere or make something of myself, an’ where they stole your letters, I ast her if she stole it, too, an’ she says no. So I married Curley. Met him out to the Riverside Dance Palace that same night.",resentful,confession,Lennie,"She reveals the real reason she married Curley — not love, but escape from a dead-end home.",original,resentful,confession
You listenin’?,insecure,confirmation request,Lennie,She checks if Lennie is actually hearing her story — desperate for someone to pay attention.,original,other,other
"Well, I ain’t told this to nobody before. Maybe I oughten to. I don’ like Curley. He ain’t a nice fella.",confessional,honesty,Lennie,"She finally opens up about her true feelings toward Curley, showing emotional vulnerability.",original,other,other
